ExperimentName,Subject,Session,Age,Clock.Information,Clock.StartTimeOfDay,Condition,Display.RefreshRate,Ethnicity,Group,RandomSeed,SessionDate,SessionTime,SessionTimeUtc,Sex,Block,AccumValue.Block.,popcount.Block.,Procedure.Block.,RunList,RunList.Cycle,RunList.Sample,Running.Block.,Trial,BalloonColor,BlockList,BlockList.Cycle,BlockList.Sample,popcount.Trial.,Procedure.Trial.,PumpDuration,Running.Trial.,TrialType,SubTrial,AccumValue.SubTrial.,burst,burstpoint,InflationCount.SubTrial.,Numpumps.SubTrial.,Outcome.OnsetTime,Procedure.SubTrial.,PumpBegin.ACC,PumpBegin.OffsetTime,PumpBegin.OnsetTime,PumpBegin.RESP,PumpBegin.RT,PumpBegin.RTTime,PumpCollect.ACC,PumpCollect.CRESP,PumpCollect.DurationError,PumpCollect.OffsetTime,PumpCollect.OnsetDelay,PumpCollect.OnsetTime,PumpCollect.RESP,PumpCollect.RT,PumpCollect.RTTime,PumpDur,PumpOnsetRT,PumpStop,Remtime.SubTrial.,Resp,Running.SubTrial.,Status.SubTrial.,TrialCount,TrialList,TrialList.Cycle,TrialList.Sample,Value.SubTrial.,LogLevel5,InflationCount.LogLevel5.,Numpumps.LogLevel5.,Procedure.LogLevel5.,Pump10RT,Pump11RT,Pump12RT,Pump13RT,Pump14RT,Pump15RT,Pump16RT,Pump17RT,Pump18RT,Pump19RT,Pump20RT,Pump21RT,Pump22RT,Pump23RT,Pump24RT,Pump25RT,Pump26RT,Pump27RT,Pump28RT,Pump29RT,Pump30RT,Pump31RT,Pump32RT,Pump33RT,Pump34RT,Pump35RT,Pump36RT,Pump37RT,Pump38RT,Pump39RT,Pump3RT,Pump40RT,Pump41RT,Pump42RT,Pump43RT,Pump44RT,Pump45RT,Pump4RT,Pump5RT,Pump6RT,Pump7RT,Pump8RT,Pump9RT,PumpAgain.ACC,PumpAgain.OffsetTime,PumpAgain.OnsetTime,PumpAgain.RESP,PumpAgain.RT,PumpAgain.RTTime,PumpIncrement,PumpIncrement.Cycle,PumpIncrement.Sample,Remtime.LogLevel5.,Running.LogLevel5.,Status.LogLevel5.,Value.LogLevel5.,X.,Pump52RT,Pump53RT,Pump48RT,Pump49RT,Pump50RT,Pump51RT,Pump46RT,Pump47RT,Pump54RT,Clock.SystemTimeDrift,Clock.SystemTimeDriftWarning,Pump56RT,Pump57RT,InflationCount,Numpumps,Remtime,Value,DataFile.Basename,ExperimentVersion,RuntimeVersion,RuntimeVersionExpected,SessionStartDateTimeUtc,StudioVersion,PumpCollect.OnsetToOnsetTime,Pump2RT,Pump66RT,Pump55RT,Pump61RT,Pump62RT
BART_PRSK,10152,1,18,<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2992640000</Frequency><Timestamp dt:dt=r8>13163907393325</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n,8/1/2011 9:44,1,85.011,3,1,413280320,8/1/2011,9:44:04,1:44:04 PM,female,1,$6.06 ,9,RunProc,1,1,1,RunList,1,Yellow,1,1,1,0,ExpBlockProc,3191,BlockList,Exp,1,$0.46 ,15,54,17,17,111872,TrialProc,0,104539,103442,{SPACE},1097,104539,0,NA,0,106633,28,106533,{SPACE},30,106563,3191,1097,106633,5193,{SPACE},TrialList,inflating,1,1,1,1,$0.46 ,1,27,27,PumpIncrementProc,NA,NA,NA,NA,NA,NA,NA,NA,1223,777,401,305,448,174,126,153,153,1377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,111867,110490,{SPACE},1377,111867,1,1,1,56,PumpIncrement,inflating,$0.46 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BART_PRSK,10152,1,18,<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2992640000</Frequency><Timestamp dt:dt=r8>13163907393325</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n,8/1/2011 9:44,1,85.011,3,1,413280320,8/1/2011,9:44:04,1:44:04 PM,female,1,$6.06 ,9,RunProc,1,1,1,RunList,2,Yellow,1,1,2,0,ExpBlockProc,1369,BlockList,Exp,1,$0.65 ,10,39,2,2,125210,TrialProc,0,118115,116995,{SPACE},1120,118115,0,NA,0,118364,27,118264,{SPACE},99,118363,1369,1120,118364,6670,{SPACE},TrialList,timeout,2,1,2,2,$0.19 ,1,14,14,PumpIncrementProc,591,135,175,414,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,NA,NA,NA,NA,NA,NA,369,1582,321,209,143,599,1,125207,123514,,0,0,1,2,2,1693,PumpIncrement,Timeout,$0.19 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BART_PRSK,10152,1,18,<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2992640000</Frequency><Timestamp dt:dt=r8>13163907393325</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n,8/1/2011 9:44,1,85.011,3,1,413280320,8/1/2011,9:44:04,1:44:04 PM,female,1,$6.06 ,9,RunProc,1,1,1,RunList,3,Yellow,1,1,3,1,ExpBlockProc,1369,BlockList,Exp,1,$0.65 ,6,27,27,27,135790,TrialProc,0,132427,131851,{SPACE},576,132427,1,NA,0,135787,29,135687,,0,0,NA,576,NA,4714,{SPACE},TrialList,popped,3,1,3,3,$0.00 ,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BART_PRSK,10152,1,18,<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2992640000</Frequency><Timestamp dt:dt=r8>13163907393325</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n,8/1/2011 9:44,1,85.011,3,1,413280320,8/1/2011,9:44:04,1:44:04 PM,female,1,$6.06 ,9,RunProc,1,1,1,RunList,4,Yellow,1,1,4,1,ExpBlockProc,2517,BlockList,Exp,1,$1.13 ,17,60,16,16,148099,TrialProc,0,139955,139470,{SPACE},485,139955,0,NA,0,141987,27,141887,{SPACE},60,141947,2517,485,141988,5905,{SPACE},TrialList,timeout,4,1,4,4,$0.48 ,1,28,28,PumpIncrementProc,NA,NA,NA,NA,NA,NA,NA,912,597,208,184,176,109,174,118,863,453,972,952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,148062,147875,,0,0,1,3,3,187,PumpIncrement,Timeout,$0.48 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BART_PRSK,10152,1,18,<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2992640000</Frequency><Timestamp dt:dt=r8>13163907393325</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n,8/1/2011 9:44,1,85.011,3,1,413280320,8/1/2011,9:44:04,1:44:04 PM,female,1,$6.06 ,9,RunProc,1,1,1,RunList,5,Yellow,1,1,5,1,ExpBlockProc,1842,BlockList,Exp,1,$2.10 ,16,57,10,10,160784,TrialProc,0,152555,151956,{SPACE},598,152554,0,NA,0,153798,32,153698,{SPACE},96,153794,1842,598,153799,6392,{SPACE},TrialList,inflating,5,1,5,5,$0.97 ,1,45,45,PumpIncrementProc,NA,563,903,133,140,132,133,149,141,108,143,148,143,133,443,148,143,108,119,125,122,165,128,124,93,391,139,143,120,109,NA,143,140,148,125,108,133,NA,NA,NA,NA,NA,NA,0,160762,160629,{SPACE},133,160762,1,4,4,6,PumpIncrement,inflating,$0.97 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BART_PRSK,10152,1,18,<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2992640000</Frequency><Timestamp dt:dt=r8>13163907393325</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n,8/1/2011 9:44,1,85.011,3,1,413280320,8/1/2011,9:44:04,1:44:04 PM,female,1,$6.06 ,9,RunProc,1,1,1,RunList,6,Yellow,1,1,6,2,ExpBlockProc,1530,BlockList,Exp,1,$2.10 ,1,12,8,8,167551,TrialProc,0,165170,164645,{SPACE},525,165170,0,NA,0,166175,24,166075,{SPACE},87,166162,1530,525,166176,6665,{SPACE},TrialList,popped,6,1,6,6,$0.00 ,1,12,12,PumpIncrementProc,420,164,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562,0,167530,167389,{SPACE},141,167530,1,5,5,5378,PumpIncrement,popped,$0.00 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BART_PRSK,10152,1,18,<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2992640000</Frequency><Timestamp dt:dt=r8>13163907393325</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n,8/1/2011 9:44,1,85.011,3,1,413280320,8/1/2011,9:44:04,1:44:04 PM,female,1,$6.06 ,9,RunProc,1,1,1,RunList,7,Yellow,1,1,7,3,ExpBlockProc,2883,BlockList,Exp,1,$2.10 ,8,33,18,18,177625,TrialProc,0,171914,171291,{SPACE},623,171914,0,NA,0,174174,25,174074,{SPACE},40,174114,2883,623,174175,5567,{SPACE},TrialList,popped,7,1,7,7,$0.00 ,1,33,33,PumpIncrementProc,NA,NA,NA,NA,NA,NA,NA,NA,NA,644,455,173,132,140,133,110,125,133,140,125,413,163,109,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,177594,177437,{SPACE},157,177594,1,6,6,2415,PumpIncrement,popped,$0.00 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BART_PRSK,10152,1,18,<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2992640000</Frequency><Timestamp dt:dt=r8>13163907393325</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n,8/1/2011 9:44,1,85.011,3,1,413280320,8/1/2011,9:44:04,1:44:04 PM,female,1,$6.06 ,9,RunProc,1,1,1,RunList,8,Yellow,1,1,8,3,ExpBlockProc,1826,BlockList,Exp,1,$2.63 ,19,66,11,11,189893,TrialProc,0,181658,181225,{SPACE},433,181658,0,NA,0,183051,39,182951,{SPACE},67,183018,1826,433,183052,6457,{SPACE},TrialList,timeout,8,1,8,8,$0.53 ,1,30,30,PumpIncrementProc,NA,NA,541,398,144,141,109,381,167,133,108,197,1773,165,140,142,127,173,101,789,381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,189856,189509,,0,0,1,7,7,347,PumpIncrement,Timeout,$0.53 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BART_PRSK,10152,1,18,<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2992640000</Frequency><Timestamp dt:dt=r8>13163907393325</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n,8/1/2011 9:44,1,85.011,3,1,413280320,8/1/2011,9:44:04,1:44:04 PM,female,1,$6.06 ,9,RunProc,1,1,1,RunList,9,Yellow,1,1,9,3,ExpBlockProc,884,BlockList,Exp,1,$3.00 ,20,69,2,2,202006,TrialProc,0,194186,193557,{SPACE},629,194186,0,NA,0,194441,21,194341,{SPACE},37,194378,884,629,194442,7161,{SPACE},TrialList,timeout,9,1,9,9,$0.37 ,1,23,23,PumpIncrementProc,128,141,597,140,294,444,518,407,332,476,172,132,639,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,141,134,463,414,197,141,1,201963,201150,,0,0,1,8,8,813,PumpIncrement,Timeout,$0.37 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BART_PRSK,10152,1,18,<?xml version=1.0?>\n<Clock xmlns:dt=urn:schemas-microsoft-com:datatypes><Description dt:dt=string>E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=int>0</Timestamp><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=r8>2992640000</Frequency><Timestamp dt:dt=r8>13163907393325</Timestamp><Current dt:dt=r8>0</Current><DateUtc dt:dt=string>2011-08-01T13:44:04Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n,8/1/2011 9:44,1,85.011,3,1,413280320,8/1/2011,9:44:04,1:44:04 PM,female,1,$6.06 ,9,RunProc,1,1,1,RunList,10,Yellow,1,1,10,3,ExpBlockProc,2923,BlockList,Exp,1,$3.75 ,13,48,16,16,213904,TrialProc,0,206097,205189,{SPACE},908,206097,0,NA,0,208112,23,208012,{SPACE},29,208041,2923,908,208113,5482,{SPACE},TrialList,inflating,10,1,10,10,$0.75 ,1,38,38,PumpIncrementProc,NA,NA,NA,NA,NA,NA,NA,831,639,148,151,111,140,135,147,124,165,455,124,140,101,454,357,140,132,148,151,132,477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,213873,213396,{SPACE},477,213873,1,9,9,80,PumpIncrement,inflating,$0.75 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
